HB030_old,HB030
201863,20186300
201865,20186500
201866,20186600
201867,20186700
201868,20186800
201869,20186900
201870,20187000
201873,20187300
201875,20187500
201878,20187800
201880,20188000
201881,20188100
201882,20188200
201883,20188300
201884,20188400
201885,20188500
201886,20188600
201889,20188900
201890,20189000
201891,20189100
201893,20189300
201894,20189400
201896,20189600
201897,20189700
201898,20189800
201899,20189900
201900,20190000
201901,20190100
201902,20190200
201904,20190400
201905,20190500
201906,20190600
201907,20190700
201909,20190900
201911,20191100
201912,20191200
201913,20191300
201915,20191500
201916,20191600
201918,20191800
201921,20192100
201922,20192200
201923,20192300
201924,20192400
201925,20192500
201926,20192600
201927,20192700
201928,20192800
201930,20193000
201931,20193100
201933,20193300
201935,20193500
201936,20193600
201938,20193800
201939,20193900
201942,20194200
201943,20194300
201944,20194400
201945,20194500
201946,20194600
201947,20194700
201948,20194800
201952,20195200
201953,20195300
201954,20195400
201955,20195500
201957,20195700
201958,20195800
201959,20195900
201961,20196100
201962,20196200
201963,20196300
201964,20196400
201966,20196600
201967,20196700
201968,20196800
201969,20196900
201970,20197000
201973,20197300
201975,20197500
201979,20197900
201983,20198300
201986,20198600
201987,20198700
201990,20199000
201991,20199100
201992,20199200
201993,20199300
201996,20199600
201999,20199900
202000,20200000
202002,20200200
202003,20200300
202004,20200400
202006,20200600
202008,20200800
202009,20200900
202010,20201000
202011,20201100
202012,20201200
202014,20201400
202016,20201600
202018,20201800
202019,20201900
202020,20202000
202021,20202100
202022,20202200
202024,20202400
202025,20202500
202026,20202600
202027,20202700
202028,20202800
202029,20202900
202030,20203000
202031,20203100
202032,20203200
202033,20203300
202034,20203400
202036,20203600
202038,20203800
202039,20203900
202040,20204000
202043,20204300
202044,20204400
202045,20204500
202047,20204700
202048,20204800
202049,20204900
202054,20205400
202056,20205600
202057,20205700
202060,20206000
202061,20206100
202062,20206200
202063,20206300
202064,20206400
202066,20206600
202067,20206700
202068,20206800
202069,20206900
202070,20207000
202071,20207100
202072,20207200
202074,20207400
202075,20207500
202076,20207600
202077,20207700
202078,20207800
202079,20207900
202080,20208000
202081,20208100
202082,20208200
202084,20208400
202085,20208500
202086,20208600
202087,20208700
202088,20208800
202089,20208900
202090,20209000
202091,20209100
202092,20209200
202093,20209300
202094,20209400
202095,20209500
202096,20209600
202097,20209700
202098,20209800
202100,20210000
202101,20210100
202102,20210200
202103,20210300
202104,20210400
202105,20210500
202106,20210600
202107,20210700
202110,20211000
202112,20211200
202113,20211300
202115,20211500
202116,20211600
202117,20211700
202118,20211800
202119,20211900
202120,20212000
202121,20212100
202124,20212400
202125,20212500
202127,20212700
202128,20212800
202130,20213000
202132,20213200
202134,20213400
202137,20213700
202138,20213800
202139,20213900
202140,20214000
202142,20214200
202144,20214400
202145,20214500
202147,20214700
202148,20214800
202149,20214900
202150,20215000
202152,20215200
202154,20215400
202155,20215500
202156,20215600
202157,20215700
202158,20215800
202159,20215900
202160,20216000
202162,20216200
202165,20216500
202166,20216600
202168,20216800
202169,20216900
202171,20217100
202172,20217200
202176,20217600
202177,20217700
202178,20217800
202181,20218100
202182,20218200
202183,20218300
202184,20218400
202185,20218500
202186,20218600
202188,20218800
202190,20219000
202195,20219500
202197,20219700
202198,20219800
202201,20220100
202203,20220300
202204,20220400
202205,20220500
202206,20220600
202208,20220800
202210,20221000
202212,20221200
202215,20221500
202216,20221600
202217,20221700
202219,20221900
202220,20222000
202221,20222100
202222,20222200
202224,20222400
202225,20222500
202229,20222900
202230,20223000
202231,20223100
202232,20223200
202233,20223300
202235,20223500
202236,20223600
202238,20223800
202240,20224000
202242,20224200
202243,20224300
202244,20224400
202245,20224500
202246,20224600
202247,20224700
202248,20224800
202249,20224900
202250,20225000
202251,20225100
202252,20225200
202253,20225300
202254,20225400
202257,20225700
202258,20225800
202262,20226200
202264,20226400
202265,20226500
202266,20226600
202267,20226700
202270,20227000
202271,20227100
202273,20227300
202274,20227400
202277,20227700
202278,20227800
202279,20227900
202281,20228100
202282,20228200
202284,20228400
202286,20228600
202287,20228700
202295,20229500
202296,20229600
202298,20229800
202299,20229900
202300,20230000
202302,20230200
202304,20230400
202305,20230500
202307,20230700
202308,20230800
202309,20230900
202310,20231000
202311,20231100
202312,20231200
202316,20231600
202317,20231700
202319,20231900
202320,20232000
202321,20232100
202322,20232200
202323,20232300
202325,20232500
202327,20232700
202328,20232800
202329,20232900
202330,20233000
202332,20233200
202334,20233400
202335,20233500
202337,20233700
202341,20234100
202342,20234200
202343,20234300
202344,20234400
202346,20234600
202348,20234800
202349,20234900
202350,20235000
202351,20235100
202352,20235200
202354,20235400
202355,20235500
202358,20235800
202361,20236100
202363,20236300
202364,20236400
202365,20236500
202367,20236700
202368,20236800
202369,20236900
202370,20237000
202371,20237100
202374,20237400
202377,20237700
202378,20237800
210371,21037100
210989,21098900
211511,21151100
211620,21162000
211663,21166300
211685,21168500
211705,21170500
211973,21197300
212182,21218200
212238,21223800
221511,22151100
302390,30239000
302399,30239900
302402,30240200
302405,30240500
302412,30241200
302417,30241700
302418,30241800
302432,30243200
302434,30243400
302441,30244100
302445,30244500
302461,30246100
302477,30247700
302479,30247900
302486,30248600
302487,30248700
302496,30249600
302498,30249800
302500,30250000
302501,30250100
302504,30250400
302505,30250500
302512,30251200
302517,30251700
302524,30252400
302554,30255400
302575,30257500
302582,30258200
302586,30258600
302588,30258800
302590,30259000
302592,30259200
302600,30260000
302601,30260100
302603,30260300
302607,30260700
302611,30261100
302616,30261600
302621,30262100
302622,30262200
302623,30262300
302632,30263200
302638,30263800
302639,30263900
302641,30264100
302645,30264500
302656,30265600
302661,30266100
302665,30266500
302667,30266700
302668,30266800
302672,30267200
302686,30268600
302689,30268900
302699,30269900
302700,30270000
302710,30271000
302718,30271800
302719,30271900
302721,30272100
302729,30272900
302736,30273600
302739,30273900
302740,30274000
302744,30274400
302745,30274500
302747,30274700
302748,30274800
302750,30275000
302751,30275100
302752,30275200
302754,30275400
302755,30275500
302756,30275600
302757,30275700
302759,30275900
302762,30276200
302763,30276300
302764,30276400
302766,30276600
302773,30277300
302774,30277400
302775,30277500
302777,30277700
302780,30278000
302782,30278200
302783,30278300
302785,30278500
302786,30278600
302791,30279100
302796,30279600
302805,30280500
302807,30280700
302809,30280900
302810,30281000
302818,30281800
302820,30282000
302821,30282100
302822,30282200
302827,30282700
302831,30283100
302834,30283400
302835,30283500
302837,30283700
302838,30283800
302847,30284700
302855,30285500
302858,30285800
302863,30286300
302864,30286400
302866,30286600
302867,30286700
302870,30287000
302871,30287100
302872,30287200
302875,30287500
302877,30287700
302879,30287900
302883,30288300
302884,30288400
302899,30289900
302906,30290600
302907,30290700
302909,30290900
302912,30291200
302913,30291300
302922,30292200
302924,30292400
302925,30292500
302927,30292700
302928,30292800
302936,30293600
302943,30294300
302944,30294400
302946,30294600
302947,30294700
302955,30295500
302956,30295600
302960,30296000
302961,30296100
302965,30296500
302972,30297200
302975,30297500
302979,30297900
302982,30298200
302987,30298700
302993,30299300
302996,30299600
303002,30300200
303009,30300900
303015,30301500
303032,30303200
303036,30303600
303038,30303800
303043,30304300
303048,30304800
303052,30305200
303053,30305300
303055,30305500
303056,30305600
303059,30305900
303060,30306000
303061,30306100
303063,30306300
303064,30306400
303066,30306600
303069,30306900
303073,30307300
303075,30307500
303079,30307900
303082,30308200
