PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
1059160001,10591600,1235.35569,19,2,1059160004,1059160002,,,,,,,,1,3,1,34,2013,200,1,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059160002,10591600,1235.35569,39,2,,,1059160004,,,,,,,2,1,2,,1991,200,2,2,3,2,,2,,,,,1,3,96,40,12,0,0,0,0,0,0,0,0,0,0,,85,,19,16,13,1,2,12524.85,10547.61,0,0,3880.2,0,0,0,0,0,0,0,0,156.7,123.8,0,0,1,6,1
1059160003,10591600,1235.35569,6,2,1059160004,1059160002,,40,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
1059160004,10591600,1235.35569,38,1,,,1059160002,,,,,,,2,1,2,,1992,200,2,2,3,2,,2,,,,,1,3,83,40,12,0,0,0,0,0,0,0,0,0,0,,42,,20,18,13,1,2,30130.9,23133.76,0,0,9507.91,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059170001,10591700,219.65745,62,2,,,1059170002,,,,,,,2,1,2,,1970,300,3,2,2,2,,2,,1,,,7,3,81,,0,0,0,0,0,12,0,0,0,0,0,,,,19,42,,1,2,0,0,0,0,0,0,0,0,0,0,0,9138.12,0,0,0,0,0,1,6,1
1059170002,10591700,219.65745,52,1,,,1059170001,,,,,,,2,1,2,,,400,,2,3,2,,2,,,,,1,3,72,40,12,0,0,0,0,0,0,0,0,0,0,,13,,20,30,13,1,2,20579.3,16163.71,0,0,6352.91,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059180001,10591800,199.98035,47,1,,,1059180002,,,,,,,2,1,2,,1989,400,,1,3,2,,2,,,,,4,2,33,20,0,0,0,12,0,0,0,0,0,0,0,,55,7,21,,1,,,0,0,0,0,0,0,136260,136074.5,0,0,0,0,0,0,0,0,0,1,6,1
1059180002,10591800,199.98035,47,2,,,1059180001,,,,,,,2,1,2,,1988,400,2,2,3,2,,2,,,,,1,3,23,36,12,0,0,0,0,0,0,0,0,0,0,,85,,19,25,13,1,2,23663.41,18400.72,0,0,7330.95,880,0,0,0,0,0,0,0,621.46,503.86,0,0,1,6,1
1059200001,10592000,302.53305,55,2,,,1059200002,,,,,,,2,1,2,,1980,400,3,1,2,2,,2,,1,2,,8,3,43,,2,0,0,0,0,0,10,0,0,0,0,,,,21,30,,1,2,17328.04,13169.31,0,0,5368.23,0,0,0,0,0,0,0,0,0,0,7263.6,0,1,6,1
1059200002,10592000,302.53305,51,1,,,1059200001,,,,,,,2,1,2,,1984,300,,1,2,2,,2,,1,2,,8,3,21,,2,0,0,0,0,0,10,0,0,0,0,,,,21,20,,1,1,14321.77,10884.54,0,0,4436.88,0,0,0,0,0,0,0,0,0,0,3638.4,0,1,6,1
1059220001,10592200,821.68867,40,2,,,1059220004,,,,,,,2,1,2,,1992,300,2,2,3,2,,2,,,,,1,3,91,40,12,0,0,0,0,0,0,0,0,0,0,,81,,22,15,13,1,2,15203.63,12483.93,0,0,4776.77,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059220002,10592200,821.68867,14,1,1059220004,1059220001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1
1059220003,10592200,821.68867,18,2,1059220004,1059220001,,,,,,,,1,3,1,35,2013,200,1,2,3,2,,2,,2,2,,6,,,,0,0,0,0,0,0,0,12,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,1,6,1
1059220004,10592200,821.68867,43,1,,,1059220001,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34015.4,26235.01,0,0,10537.97,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059230001,10592300,289.12582,78,2,,,1059230004,,,,,,,2,1,2,,1957,400,,1,2,2,,2,,1,,,7,3,22,,0,0,0,0,0,12,0,0,0,0,0,,,,21,,,1,2,0,0,0,0,0,0,0,0,0,0,0,8585.52,0,0,0,0,0,1,6,1
1059230002,10592300,289.12582,47,2,1059230004,1059230001,1059230003,,,,,,,2,1,2,,1990,600,2,2,3,2,,2,,,,,1,3,12,40,12,0,0,0,0,0,0,0,0,0,0,,84,,20,,6,1,1,45688.92,34723.92,0,0,14154.43,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059230003,10592300,289.12582,48,1,,,1059230002,,,,,,,2,1,2,,1985,400,,2,3,2,,2,,,,,1,3,21,40,12,0,0,0,0,0,0,0,0,0,0,,35,,22,,13,1,2,23362.1,18197.51,0,0,7237.58,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
1059230004,10592300,289.12582,81,1,,,1059230001,,,,,,,2,1,2,,1955,300,,1,2,2,,2,,1,,,7,3,71,,0,0,0,0,0,12,0,0,0,0,0,,,,23,,,1,2,0,0,0,0,0,0,0,0,0,0,0,10565.52,0,0,0,0,0,1,6,1
