HB030,HB030_new
107279,10727900
107281,10728100
107282,10728200
107283,10728300
107284,10728400
107285,10728500
107286,10728600
107287,10728700
107288,10728800
107289,10728900
107290,10729000
107293,10729300
107295,10729500
107298,10729800
107299,10729900
107300,10730000
107302,10730200
107303,10730300
107304,10730400
107307,10730700
107311,10731100
107312,10731200
107313,10731300
107314,10731400
107315,10731500
107316,10731600
107317,10731700
107319,10731900
107321,10732100
107322,10732200
107323,10732300
107325,10732500
107327,10732700
107329,10732900
107331,10733100
107338,10733800
107341,10734100
107342,10734200
107344,10734400
107348,10734800
107350,10735000
107351,10735100
107352,10735200
107353,10735300
107354,10735400
107357,10735700
107360,10736000
107361,10736100
107364,10736400
107365,10736500
107371,10737100
107375,10737500
107376,10737600
107379,10737900
107380,10738000
107383,10738300
107384,10738400
107385,10738500
107386,10738600
107387,10738700
107388,10738800
107390,10739000
107392,10739200
107393,10739300
107394,10739400
107396,10739600
107400,10740000
107401,10740100
107403,10740300
107405,10740500
107406,10740600
107407,10740700
107409,10740900
107410,10741000
107411,10741100
107413,10741300
107414,10741400
107416,10741600
107417,10741700
107419,10741900
107421,10742100
107423,10742300
107426,10742600
107427,10742700
107430,10743000
107431,10743100
107432,10743200
107433,10743300
107434,10743400
107435,10743500
107438,10743800
107439,10743900
107440,10744000
107441,10744100
107443,10744300
107444,10744400
107446,10744600
107450,10745000
107451,10745100
107452,10745200
107453,10745300
107457,10745700
107458,10745800
107460,10746000
107461,10746100
107462,10746200
107465,10746500
107468,10746800
107469,10746900
107473,10747300
107474,10747400
107475,10747500
107476,10747600
107478,10747800
107480,10748000
107481,10748100
107482,10748200
107483,10748300
107485,10748500
107486,10748600
107489,10748900
107490,10749000
107492,10749200
107493,10749300
107494,10749400
107495,10749500
107497,10749700
107498,10749800
107499,10749900
107502,10750200
107503,10750300
107506,10750600
107507,10750700
107508,10750800
107510,10751000
107511,10751100
107514,10751400
107515,10751500
107516,10751600
107517,10751700
107518,10751800
107520,10752000
107522,10752200
107523,10752300
107525,10752500
107527,10752700
107528,10752800
107529,10752900
107534,10753400
107535,10753500
107536,10753600
107538,10753800
107539,10753900
107540,10754000
107541,10754100
107544,10754400
107545,10754500
107547,10754700
107549,10754900
107556,10755600
107557,10755700
107560,10756000
107561,10756100
107563,10756300
107565,10756500
107567,10756700
107568,10756800
107569,10756900
107570,10757000
107571,10757100
107574,10757400
107575,10757500
107576,10757600
107577,10757700
107579,10757900
107580,10758000
107582,10758200
107583,10758300
107584,10758400
107585,10758500
107586,10758600
107587,10758700
107588,10758800
107589,10758900
107591,10759100
107592,10759200
107593,10759300
107594,10759400
107595,10759500
107597,10759700
107599,10759900
107602,10760200
107605,10760500
107607,10760700
107608,10760800
107610,10761000
107613,10761300
107615,10761500
107618,10761800
107620,10762000
107622,10762200
107623,10762300
107627,10762700
107628,10762800
107631,10763100
107634,10763400
107637,10763700
107640,10764000
107643,10764300
107644,10764400
107645,10764500
107646,10764600
107648,10764800
107649,10764900
107652,10765200
107655,10765500
107656,10765600
